Txn Hash,Method,Block,Age,From,Action,To,Value,Fee,Date
0x58a1101cbf55723f83f2a043ea93bd18580be556d98073d3b6bb3fc857106556,Approve,22667797,673 days 7 hrs ago,0x0b83f617ad1b093e071248930366ca447aa81971,OUT,0x10b1c123183e191e8e2d5b209323de51c655e384,0 MATIC,0.00139761,2021-12-18 08:49:15.633990
0xbb5d47e00697de8382c778f1496071ea35988798ba8190e5311b74cc2c98c15c,Claim Many From ...,22667776,673 days 7 hrs ago,0x0b83f617ad1b093e071248930366ca447aa81971,OUT,0x1202ca46ff9b4de728361b46b89d1bf158cc8751,0 MATIC,0.00717651,2021-12-18 08:49:15.633990
0x236b62d9ea338a64ee3b7de45e456c022a91dc74271f0cec13219b96d99d315d,Add Many To Barn...,22315100,682 days 7 hrs ago,0x0b83f617ad1b093e071248930366ca447aa81971,OUT,0x1202ca46ff9b4de728361b46b89d1bf158cc8751,0 MATIC,0.00086089,2021-12-09 08:49:15.633990
0x980243cf44b293e4bdb054c01ced646a9e69c463c745a3196140a2f14b68b3cc,Mint,22314968,682 days 7 hrs ago,0x0b83f617ad1b093e071248930366ca447aa81971,OUT,0xbdc91993cc370eed38e59cd1c68b6d2f88508ce2,75 MATIC,0.00819084,2021-12-09 08:49:15.633990
0x55ee0252f8b277592467806b805e4a157432dc7f6f9dc3ea47ad44de7ff26d1f,Mint,22314838,682 days 7 hrs ago,0x0b83f617ad1b093e071248930366ca447aa81971,OUT,0xbdc91993cc370eed38e59cd1c68b6d2f88508ce2,75 MATIC,0.00797967,2021-12-09 08:49:15.633990
0x63ab210f3e27759b2be9167e7c743f385639405d4ba8e8239b9db7006725e08c,Swap Tokens For ...,22314825,682 days 7 hrs ago,0x0b83f617ad1b093e071248930366ca447aa81971,OUT,SushiSwap: Router,0 MATIC,0.00370122,2021-12-09 08:49:15.633990
0x3a6c6f63c1a70c0cbfbede1ea992731b51f488efed76180879260a3c79ce4158,Add ERC721Listin...,22204953,685 days 3 hrs ago,0x0b83f617ad1b093e071248930366ca447aa81971,OUT,Aavegotchi: NFTs,0 MATIC,0.01155084,2021-12-06 12:49:15.633990
0xf6787269937ee7185d443b0de4f9c5c36ffb311a643d273d0cfb330367dcbbeb,Add ERC721Listin...,22204663,685 days 4 hrs ago,0x0b83f617ad1b093e071248930366ca447aa81971,OUT,Aavegotchi: NFTs,0 MATIC,0.01155084,2021-12-06 11:49:15.633990
0xb6f896ff1801a87000f511915a4e539cac362d27995650a325606d2e49d36ca7,Add ERC721Listin...,22204567,685 days 4 hrs ago,0x0b83f617ad1b093e071248930366ca447aa81971,OUT,Aavegotchi: NFTs,0 MATIC,0.02748576,2021-12-06 11:49:15.633990
0xbdc6f211a253167597e65b4bacf78d2cf49078bc2f62ea2e908f92af9419e4ac,Add ERC721Listin...,22204455,685 days 4 hrs ago,0x0b83f617ad1b093e071248930366ca447aa81971,OUT,Aavegotchi: NFTs,0 MATIC,0.01252704,2021-12-06 11:49:15.633990
